Gun,Gunluk Test,Gunluk Onayli Vaka,Gunluk Olum,Toplam Vaka,Toplam Olum,Yogun Bakim,Entube,Iyilesen,Gunluk Vaka / Test Orani
3/13/2020,50,5,0,4,0,0,0,0,0.10
3/14/2020,371,6,0,1,0,24,17,2,0.02
3/15/2020,693,12,0,18,0,49,34,4,0.02
3/16/2020,1015,29,0,49,0,73,51,6,0.03
3/17/2020,1337,51,1,98,1,98,68,8,0.04
3/18/2020,1659,93,1,191,2,122,86,10,0.06
3/19/2020,1981,168,2,359,4,147,103,13,0.08
3/20/2020,3656,311,5,670,9,172,120,15,0.09
3/21/2020,2970,277,12,947,21,196,137,17,0.09
3/22/2020,1738,289,9,1236,30,221,154,19,0.17
3/23/2020,3672,293,7,1529,37,245,172,21,0.08
3/24/2020,3952,343,7,1872,44,270,189,23,0.09
3/25/2020,5035,561,15,2433,59,294,206,26,0.11
3/26/2020,7286,1196,16,3629,75,319,223,34,0.16
3/27/2020,7533,2069,17,5698,92,344,241,42,0.27
3/28/2020,7641,1704,16,7402,108,445,309,70,0.22
3/29/2020,9982,1815,23,9217,131,568,394,105,0.18
3/30/2020,11535,1610,37,10827,168,725,523,162,0.14
3/31/2020,15422,2704,46,13531,214,847,622,243,0.18
4/1/2020,14396,2148,63,15679,277,979,692,333,0.15
4/2/2020,18135,2456,79,18135,356,1101,783,415,0.14
